Thomas S. Huang , Xiang Sean Zhou
Milan Petkovic , Peter M. G. Apers
Martin L. Kersten , Milan Petkovic
Milan Petkovic , Willem Jonker
Martin L. Kersten , Peter M. G. Apers
Peter M. G. Apers , Willem Jonker
Martin L. Kersten , Willem Jonker
Christophe Bobineau , Nicolas Anciaux
Luc Bouganim , Nicolas Anciaux
Nicolas Anciaux , Philippe Pucheral
Nicolas Anciaux , Patrick Valduriez
Christophe Bobineau , Luc Bouganim
Christophe Bobineau , Philippe Pucheral
Christophe Bobineau , Patrick Valduriez
Luc Bouganim , Philippe Pucheral
Luc Bouganim , Patrick Valduriez
Patrick Valduriez , Philippe Pucheral
Giuseppe Sindoni , Leonardo Tininini
Amedea Ambrosetti , Giuseppe Sindoni
Cristina Bedeschi , Giuseppe Sindoni
Giuseppe Sindoni , Stefano De Francisci
Giuseppe Sindoni , Orietta Gargano
Giuseppe Sindoni , Rossella Molinaro
Giuseppe Sindoni , Mario Paolucci
Giuseppe Sindoni , Paola Patteri
Giuseppe Sindoni , Pina Ticca
Amedea Ambrosetti , Leonardo Tininini
Cristina Bedeschi , Leonardo Tininini
Leonardo Tininini , Stefano De Francisci
Leonardo Tininini , Orietta Gargano
Leonardo Tininini , Rossella Molinaro
Leonardo Tininini , Mario Paolucci
Leonardo Tininini , Paola Patteri
Leonardo Tininini , Pina Ticca
Amedea Ambrosetti , Cristina Bedeschi
Amedea Ambrosetti , Stefano De Francisci
Amedea Ambrosetti , Orietta Gargano
Amedea Ambrosetti , Rossella Molinaro
Amedea Ambrosetti , Mario Paolucci
Amedea Ambrosetti , Paola Patteri
Amedea Ambrosetti , Pina Ticca
Cristina Bedeschi , Stefano De Francisci
Cristina Bedeschi , Orietta Gargano
Cristina Bedeschi , Rossella Molinaro
Cristina Bedeschi , Mario Paolucci
Cristina Bedeschi , Paola Patteri
Cristina Bedeschi , Pina Ticca
Orietta Gargano , Stefano De Francisci
Rossella Molinaro , Stefano De Francisci
Mario Paolucci , Stefano De Francisci
Paola Patteri , Stefano De Francisci
Pina Ticca , Stefano De Francisci
Orietta Gargano , Rossella Molinaro
Mario Paolucci , Orietta Gargano
Orietta Gargano , Paola Patteri
Orietta Gargano , Pina Ticca
Mario Paolucci , Rossella Molinaro
Paola Patteri , Rossella Molinaro
Pina Ticca , Rossella Molinaro
Mario Paolucci , Paola Patteri
Mario Paolucci , Pina Ticca
Paola Patteri , Pina Ticca
Harald Kosch , L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi
Alexander Bachlechner , Harald Kosch
Christian Hanin , Harald Kosch
Christian Hofbauer , Harald Kosch
Harald Kosch , Margit Lang
Carmen Riedler , Harald Kosch
Harald Kosch , Roland Tusch
Alexander Bachlechner , L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi
Christian Hanin , L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi
Christian Hofbauer , L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi
L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi , Margit Lang
Carmen Riedler , L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi
L&aacute;szl&oacute; B&ouml;sz&ouml;rm&eacute;nyi , Roland Tusch
Alexander Bachlechner , Christian Hanin
Alexander Bachlechner , Christian Hofbauer
Alexander Bachlechner , Margit Lang
Alexander Bachlechner , Carmen Riedler
Alexander Bachlechner , Roland Tusch
Christian Hanin , Christian Hofbauer
Christian Hanin , Margit Lang
Carmen Riedler , Christian Hanin
Christian Hanin , Roland Tusch
Christian Hofbauer , Margit Lang
Carmen Riedler , Christian Hofbauer
Christian Hofbauer , Roland Tusch
Carmen Riedler , Margit Lang
Margit Lang , Roland Tusch
Carmen Riedler , Roland Tusch
Robert Baumgartner , Sergio Flesca
Georg Gottlob , Robert Baumgartner
Georg Gottlob , Sergio Flesca
Craig A. Knoblock , Jos&eacute; Luis Ambite
Jos&eacute; Luis Ambite , Mohammad R. Kolahdouzan
Jos&eacute; Luis Ambite , Maria Muslea
Cyrus Shahabi , Jos&eacute; Luis Ambite
Jos&eacute; Luis Ambite , Snehal Thakkar
Craig A. Knoblock , Mohammad R. Kolahdouzan
Craig A. Knoblock , Maria Muslea
Craig A. Knoblock , Cyrus Shahabi
Craig A. Knoblock , Snehal Thakkar
Maria Muslea , Mohammad R. Kolahdouzan
Cyrus Shahabi , Mohammad R. Kolahdouzan
Mohammad R. Kolahdouzan , Snehal Thakkar
Cyrus Shahabi , Maria Muslea
Maria Muslea , Snehal Thakkar
Cyrus Shahabi , Snehal Thakkar
Aoying Zhou , Hongjun Lu
Aoying Zhou , Shihui Zheng
Aoying Zhou , Yuqi Liang
Aoying Zhou , Long Zhang
Aoying Zhou , Wenyun Ji
Aoying Zhou , Zengping Tian
Hongjun Lu , Shihui Zheng
Hongjun Lu , Yuqi Liang
Hongjun Lu , Long Zhang
Hongjun Lu , Wenyun Ji
Hongjun Lu , Zengping Tian
Shihui Zheng , Yuqi Liang
Long Zhang , Shihui Zheng
Shihui Zheng , Wenyun Ji
Shihui Zheng , Zengping Tian
Long Zhang , Yuqi Liang
Wenyun Ji , Yuqi Liang
Yuqi Liang , Zengping Tian
Long Zhang , Wenyun Ji
Long Zhang , Zengping Tian
Wenyun Ji , Zengping Tian
Erhard Rahm , Thomas St&ouml;hr
Fran&ccedil;oise Fabret , Jo&atilde;o Pereira
Hans-Arno Jacobsen , Jo&atilde;o Pereira
Fran&ccedil;ois Llirbat , Jo&atilde;o Pereira
Dennis Shasha , Jo&atilde;o Pereira
Fran&ccedil;oise Fabret , Hans-Arno Jacobsen
Fran&ccedil;ois Llirbat , Fran&ccedil;oise Fabret
Dennis Shasha , Fran&ccedil;oise Fabret
Fran&ccedil;ois Llirbat , Hans-Arno Jacobsen
Dennis Shasha , Hans-Arno Jacobsen
Dennis Shasha , Fran&ccedil;ois Llirbat
Kyuseok Shim , Surajit Chaudhuri
Michael J. Franklin , Mitch Cherniack
Mitch Cherniack , Stanley B. Zdonik
Michael J. Franklin , Stanley B. Zdonik
Minos N. Garofalakis , Phillip B. Gibbons
Carole A. Goble , Norman W. Paton
Jian Pei , Jiawei Han
Guozhu Dong , Jiawei Han
Jiawei Han , Ke Wang
Guozhu Dong , Jian Pei
Jian Pei , Ke Wang
Guozhu Dong , Ke Wang
Flip Korn , Johannes Gehrke
Divesh Srivastava , Johannes Gehrke
Divesh Srivastava , Flip Korn
Alan S. Wagner , Raymond T. Ng
Raymond T. Ng , Yu Yin
Alan S. Wagner , Yu Yin
Charu C. Aggarwal , Philip S. Yu
Denis Rinfret , Patrick E. O'Neil
Denis Rinfret , Elizabeth J. O'Neil
Elizabeth J. O'Neil , Patrick E. O'Neil
Michael Greenwald , Sanjeev Khanna
Luis Gravano , Panagiotis G. Ipeirotis
Mehran Sahami , Panagiotis G. Ipeirotis
Luis Gravano , Mehran Sahami
Hans-Peter Kriegel , Markus M. Breunig
Markus M. Breunig , Peer Kr&ouml;ger
J&ouml;rg Sander , Markus M. Breunig
Hans-Peter Kriegel , Peer Kr&ouml;ger
Hans-Peter Kriegel , J&ouml;rg Sander
J&ouml;rg Sander , Peer Kr&ouml;ger
Mahesh V. Joshi , Ramesh C. Agarwal
Mahesh V. Joshi , Vipin Kumar
Ramesh C. Agarwal , Vipin Kumar
Atsuyuki Morishima , Mary F. Fernandez
Dan Suciu , Mary F. Fernandez
Atsuyuki Morishima , Dan Suciu
Fran&ccedil;oise Fabret , Hans-Arno Jacobsen
Fran&ccedil;ois Llirbat , Fran&ccedil;oise Fabret
Fran&ccedil;oise Fabret , Jo&atilde;o Pereira
Fran&ccedil;oise Fabret , Kenneth A. Ross
Dennis Shasha , Fran&ccedil;oise Fabret
Fran&ccedil;ois Llirbat , Hans-Arno Jacobsen
Hans-Arno Jacobsen , Jo&atilde;o Pereira
Hans-Arno Jacobsen , Kenneth A. Ross
Dennis Shasha , Hans-Arno Jacobsen
Fran&ccedil;ois Llirbat , Jo&atilde;o Pereira
Fran&ccedil;ois Llirbat , Kenneth A. Ross
Dennis Shasha , Fran&ccedil;ois Llirbat
Jo&atilde;o Pereira , Kenneth A. Ross
Dennis Shasha , Jo&atilde;o Pereira
Dennis Shasha , Kenneth A. Ross
Christian S. Jensen , Giedrius Slivinskas
Giedrius Slivinskas , Richard T. Snodgrass
Christian S. Jensen , Richard T. Snodgrass
Kihong Kim , Sang Kyun Cha
Keunjoo Kwon , Kihong Kim
Keunjoo Kwon , Sang Kyun Cha
Eamonn J. Keogh , Kaushik Chakrabarti
Eamonn J. Keogh , Sharad Mehrotra
Eamonn J. Keogh , Michael J. Pazzani
Kaushik Chakrabarti , Sharad Mehrotra
Kaushik Chakrabarti , Michael J. Pazzani
Michael J. Pazzani , Sharad Mehrotra
Peter McIlroy , Philip Bohannon
Philip Bohannon , Rajeev Rastogi
Peter McIlroy , Rajeev Rastogi
Kaustubh Deshmukh , Vinayak R. Borkar
Sunita Sarawagi , Vinayak R. Borkar
Kaustubh Deshmukh , Sunita Sarawagi
Clement T. Yu , Weiyi Meng
Clement T. Yu , Wensheng Wu
Clement T. Yu , King-Lup Liu
Weiyi Meng , Wensheng Wu
King-Lup Liu , Weiyi Meng
King-Lup Liu , Wensheng Wu
Amol Deshpande , Minos N. Garofalakis
Amol Deshpande , Rajeev Rastogi
Minos N. Garofalakis , Rajeev Rastogi
Nicolas Bruno , Surajit Chaudhuri
Luis Gravano , Nicolas Bruno
Luis Gravano , Surajit Chaudhuri
H. V. Jagadish , Hui Jin
Beng Chin Ooi , H. V. Jagadish
H. V. Jagadish , Kian-Lee Tan
Beng Chin Ooi , Hui Jin
Hui Jin , Kian-Lee Tan
Beng Chin Ooi , Kian-Lee Tan
Phillip B. Gibbons , Shimin Chen
Shimin Chen , Todd C. Mowry
Phillip B. Gibbons , Todd C. Mowry
Aristides Gionis , Dimitrios Gunopulos
Aristides Gionis , Nick Koudas
Dimitrios Gunopulos , Nick Koudas
Nick Koudas , Vagelis Hristidis
Vagelis Hristidis , Yannis Papakonstantinou
Nick Koudas , Yannis Papakonstantinou
Johannes Gehrke , Zhiyuan Chen
Flip Korn , Zhiyuan Chen
Flip Korn , Johannes Gehrke
Minos N. Garofalakis , Shivnath Babu
Rajeev Rastogi , Shivnath Babu
Minos N. Garofalakis , Rajeev Rastogi
Gautam Das , Surajit Chaudhuri
Surajit Chaudhuri , Vivek R. Narasayya
Gautam Das , Vivek R. Narasayya
Hoshi Mistry , Prasan Roy
Hoshi Mistry , S. Sudarshan
Hoshi Mistry , Krithi Ramamritham
Prasan Roy , S. Sudarshan
Krithi Ramamritham , Prasan Roy
Krithi Ramamritham , S. Sudarshan
Chen Li , Foto N. Afrati
Foto N. Afrati , Jeffrey D. Ullman
Chen Li , Jeffrey D. Ullman
Jonathan Goldstein , Per-&Aring;ke Larson
Kyu-Young Whang , Sang Ho Lee
Sang Ho Lee , Yang-Sae Moon
Il-Yeol Song , Sang Ho Lee
Kyu-Young Whang , Yang-Sae Moon
Il-Yeol Song , Kyu-Young Whang
Il-Yeol Song , Yang-Sae Moon
Boon Thau Loo , Chris Olston
Chris Olston , Jennifer Widom
Boon Thau Loo , Jennifer Widom
Dimitris Papadias , Panos Kalnis
Bernhard Braunm&uuml;ller , Christian B&ouml;hm
Christian B&ouml;hm , Florian Krebs
Christian B&ouml;hm , Hans-Peter Kriegel
Bernhard Braunm&uuml;ller , Florian Krebs
Bernhard Braunm&uuml;ller , Hans-Peter Kriegel
Florian Krebs , Hans-Peter Kriegel
Ambuj K. Singh , Christian A. Lang
Iosif Lazaridis , Sharad Mehrotra
Igor Tatarinov , Zachary G. Ives
Alon Y. Halevy , Igor Tatarinov
Daniel S. Weld , Igor Tatarinov
Alon Y. Halevy , Zachary G. Ives
Daniel S. Weld , Zachary G. Ives
Alon Y. Halevy , Daniel S. Weld
Chun Zhang , Jeffrey F. Naughton
Chun Zhang , David J. DeWitt
Chun Zhang , Qiong Luo
Chun Zhang , Guy M. Lohman
David J. DeWitt , Jeffrey F. Naughton
Jeffrey F. Naughton , Qiong Luo
Guy M. Lohman , Jeffrey F. Naughton
David J. DeWitt , Qiong Luo
David J. DeWitt , Guy M. Lohman
Guy M. Lohman , Qiong Luo
Benjamin Nguyen , Serge Abiteboul
Benjamin Nguyen , Gregory Cobena
Benjamin Nguyen , Mihai Preda
Gregory Cobena , Serge Abiteboul
Mihai Preda , Serge Abiteboul
Gregory Cobena , Mihai Preda
Divyakant Agrawal , Yi-Leh Wu
Amr El Abbadi , Yi-Leh Wu
Amr El Abbadi , Divyakant Agrawal
Benjamin Taskar , Lise Getoor
Daphne Koller , Lise Getoor
Benjamin Taskar , Daphne Koller
Assaf Schuster , Ran Wolff
Ling-Ling Yan , Ren&eacute;e J. Miller
Laura M. Haas , Ling-Ling Yan
Ling-Ling Yan , Ronald Fagin
Laura M. Haas , Ren&eacute;e J. Miller
Ren&eacute;e J. Miller , Ronald Fagin
Laura M. Haas , Ronald Fagin
Sihem Amer-Yahia , SungRan Cho
Laks V. S. Lakshmanan , Sihem Amer-Yahia
Divesh Srivastava , Sihem Amer-Yahia
Laks V. S. Lakshmanan , SungRan Cho
Divesh Srivastava , SungRan Cho
Divesh Srivastava , Laks V. S. Lakshmanan
AnHai Doan , Pedro Domingos
Alon Y. Halevy , AnHai Doan
Alon Y. Halevy , Pedro Domingos
Felipe Cari&ntilde;o , Pekka Kostamaa
Art Kaufmann , Felipe Cari&ntilde;o
Felipe Cari&ntilde;o , John Burgess
Art Kaufmann , Pekka Kostamaa
John Burgess , Pekka Kostamaa
Art Kaufmann , John Burgess
K. Sel&ccedil;uk Candan , Wen-Syan Li
K. Sel&ccedil;uk Candan , Qiong Luo
K. Sel&ccedil;uk Candan , Wang-Pin Hsiung
Divyakant Agrawal , K. Sel&ccedil;uk Candan
Qiong Luo , Wen-Syan Li
Wang-Pin Hsiung , Wen-Syan Li
Divyakant Agrawal , Wen-Syan Li
Qiong Luo , Wang-Pin Hsiung
Divyakant Agrawal , Qiong Luo
Divyakant Agrawal , Wang-Pin Hsiung
Julio C. Navas , Michael J. Wynblatt
Joseph M. Hellerstein , Michael Stonebraker
Eric Bloedorn , Zohreh Nazeri
Paul Ostwald , Zohreh Nazeri
Eric Bloedorn , Paul Ostwald
Alon Y. Halevy , Denise Draper
Daniel S. Weld , Denise Draper
Alon Y. Halevy , Daniel S. Weld
C&eacute;sar A. Galindo-Legaria , Milind Joshi
Jarek Gryz , Parke Godfrey
Calisto Zuzarte , Parke Godfrey
Calisto Zuzarte , Jarek Gryz
Amit Ganesh , Tirthankar Lahiri
Ron Weiss , Tirthankar Lahiri
Ashok Joshi , Tirthankar Lahiri
Amit Ganesh , Ron Weiss
Amit Ganesh , Ashok Joshi
Ashok Joshi , Ron Weiss
Joseph M. Hellerstein , Peter J. Haas
Dimitrios Gunopulos , Gautam Das
Fabio Casati , Ming-Chien Shan
Amol Katkar , Pavan Deolasee
Ankur Panchbudhe , Pavan Deolasee
Krithi Ramamritham , Pavan Deolasee
Pavan Deolasee , Prashant J. Shenoy
Amol Katkar , Ankur Panchbudhe
Amol Katkar , Krithi Ramamritham
Amol Katkar , Prashant J. Shenoy
Ankur Panchbudhe , Krithi Ramamritham
Ankur Panchbudhe , Prashant J. Shenoy
Krithi Ramamritham , Prashant J. Shenoy
Stefan Holland , Werner Kie&szlig;ling
Stefan Fischer , Werner Kie&szlig;ling
Thorsten Ehm , Werner Kie&szlig;ling
Stefan Fischer , Stefan Holland
Stefan Holland , Thorsten Ehm
Stefan Fischer , Thorsten Ehm
Jason Chionh , Lidan Shou
Kian-Lee Tan , Lidan Shou
Lidan Shou , Yixin Ruan
Lidan Shou , Zhiyong Huang
Jason Chionh , Kian-Lee Tan
Jason Chionh , Yixin Ruan
Jason Chionh , Zhiyong Huang
Kian-Lee Tan , Yixin Ruan
Kian-Lee Tan , Zhiyong Huang
Yixin Ruan , Zhiyong Huang
Sudarshan S. Chawathe , Thomas Baby
Jihwang Yeo , Sudarshan S. Chawathe
Jihwang Yeo , Thomas Baby
David Buttler , Ling Liu
Calton Pu , David Buttler
David Buttler , Henrique Paques
Calton Pu , Ling Liu
Henrique Paques , Ling Liu
Calton Pu , Henrique Paques
Elisa Bertino , Silvana Castano
Elena Ferrari , Elisa Bertino
Elena Ferrari , Silvana Castano
Elke A. Rundensteiner , Kajal T. Claypool
Kajal T. Claypool , Xin Zhang
Hong Su , Kajal T. Claypool
Harumi A. Kuno , Kajal T. Claypool
Kajal T. Claypool , Wang-Chien Lee
Gail Mitchell , Kajal T. Claypool
Elke A. Rundensteiner , Xin Zhang
Elke A. Rundensteiner , Hong Su
Elke A. Rundensteiner , Harumi A. Kuno
Elke A. Rundensteiner , Wang-Chien Lee
Elke A. Rundensteiner , Gail Mitchell
Hong Su , Xin Zhang
Harumi A. Kuno , Xin Zhang
Wang-Chien Lee , Xin Zhang
Gail Mitchell , Xin Zhang
Harumi A. Kuno , Hong Su
Hong Su , Wang-Chien Lee
Gail Mitchell , Hong Su
Harumi A. Kuno , Wang-Chien Lee
Gail Mitchell , Harumi A. Kuno
Gail Mitchell , Wang-Chien Lee
Mauricio A. Hern&aacute;ndez , Ren&eacute;e J. Miller
Laura M. Haas , Mauricio A. Hern&aacute;ndez
Laura M. Haas , Ren&eacute;e J. Miller
Sanjay Agrawal , Surajit Chaudhuri
Sanjay Agrawal , Vivek R. Narasayya
Surajit Chaudhuri , Vivek R. Narasayya
Giuseppe Santucci , Tiziana Catarci
Asaf Adi , David Botzer
Asaf Adi , Opher Etzion
Asaf Adi , Tali Yatzkar-Haham
David Botzer , Opher Etzion
David Botzer , Tali Yatzkar-Haham
Opher Etzion , Tali Yatzkar-Haham
Mehul A. Shah , Sirish Chandrasekaran
Eugene Agichtein , Luis Gravano
Eugene Agichtein , Jeff Pavel
Eugene Agichtein , Viktoriya Sokolova
Aleksandr Voskoboynik , Eugene Agichtein
Jeff Pavel , Luis Gravano
Luis Gravano , Viktoriya Sokolova
Aleksandr Voskoboynik , Luis Gravano
Jeff Pavel , Viktoriya Sokolova
Aleksandr Voskoboynik , Jeff Pavel
Aleksandr Voskoboynik , Viktoriya Sokolova
Edward Y. Chang , Kwang-Ting (Tim) Cheng
Edward Y. Chang , Lihyuarn L. Chang
Kwang-Ting (Tim) Cheng , Lihyuarn L. Chang
Andreas M&uuml;ller , Hans-Peter Kriegel
Hans-Peter Kriegel , Marco P&ouml;tke
Hans-Peter Kriegel , Thomas Seidl
Andreas M&uuml;ller , Marco P&ouml;tke
Andreas M&uuml;ller , Thomas Seidl
Marco P&ouml;tke , Thomas Seidl
Edward Chan , Kam-yiu Lam
Kam-yiu Lam , Tei-Wei Kuo
Kam-yiu Lam , S. W. Ng
Dick Hung , Kam-yiu Lam
Edward Chan , Tei-Wei Kuo
Edward Chan , S. W. Ng
Dick Hung , Edward Chan
S. W. Ng , Tei-Wei Kuo
Dick Hung , Tei-Wei Kuo
Dick Hung , S. W. Ng
Anindya Datta , Kaushik Dutta
Anindya Datta , Krithi Ramamritham
Anindya Datta , Helen M. Thomas
Anindya Datta , Debra E. VanderMeer
Kaushik Dutta , Krithi Ramamritham
Helen M. Thomas , Kaushik Dutta
Debra E. VanderMeer , Kaushik Dutta
Helen M. Thomas , Krithi Ramamritham
Debra E. VanderMeer , Krithi Ramamritham
Debra E. VanderMeer , Helen M. Thomas
Arthur T. Whitney , Dennis Shasha
Hasan M. Jamil , Jiawei Han
Jiawei Han , Ying Lu
Jiawei Han , Liangyou Chen
Jiawei Han , Yaqin Liao
Jian Pei , Jiawei Han
Hasan M. Jamil , Ying Lu
Hasan M. Jamil , Liangyou Chen
Hasan M. Jamil , Yaqin Liao
Hasan M. Jamil , Jian Pei
Liangyou Chen , Ying Lu
Yaqin Liao , Ying Lu
Jian Pei , Ying Lu
Liangyou Chen , Yaqin Liao
Jian Pei , Liangyou Chen
Jian Pei , Yaqin Liao
Jun Chen , Xin Zhang
Jun Chen , Songting Chen
Andreas Koeller , Jun Chen
Elke A. Rundensteiner , Jun Chen
Songting Chen , Xin Zhang
Andreas Koeller , Xin Zhang
Elke A. Rundensteiner , Xin Zhang
Andreas Koeller , Songting Chen
Elke A. Rundensteiner , Songting Chen
Andreas Koeller , Elke A. Rundensteiner
Benjamin Kuipers , Emilio Remolina
Gerhard Lakemeyer , Henrik Grosskreutz
Joseph Y. Halpern , Judea Pearl
Thomas Eiter , Thomas Lukasiewicz
Christopher Bailey-Kellogg , Naren Ramakrishnan
David A. Randell , Mark Witkowski
David A. Randell , Murray Shanahan
Mark Witkowski , Murray Shanahan
Hidde de Jong , Michel Page
C&eacute;line Hernandez , Hidde de Jong
Hidde de Jong , Johannes Geiselmann
C&eacute;line Hernandez , Michel Page
Johannes Geiselmann , Michel Page
C&eacute;line Hernandez , Johannes Geiselmann
Ivayla Vatcheva , Olivier Bernard
Hidde de Jong , Ivayla Vatcheva
Ivayla Vatcheva , Jean-Luc Gouz&eacute;
Ivayla Vatcheva , Nicolaas J. I. Mars
Hidde de Jong , Olivier Bernard
Jean-Luc Gouz&eacute; , Olivier Bernard
Nicolaas J. I. Mars , Olivier Bernard
Hidde de Jong , Jean-Luc Gouz&eacute;
Hidde de Jong , Nicolaas J. I. Mars
Jean-Luc Gouz&eacute; , Nicolaas J. I. Mars
Andrei A. Krokhin , Peter Jeavons
Andrei A. Krokhin , Peter Jonsson
Peter Jeavons , Peter Jonsson
Chitta Baral , Yan Zhang
Nad&egrave;ge Porquet , Pierre Marquis
Salem Benferhat , Souhila Kaci
Daniel Le Berre , Salem Benferhat
Mary-Anne Williams , Salem Benferhat
Daniel Le Berre , Souhila Kaci
Mary-Anne Williams , Souhila Kaci
Daniel Le Berre , Mary-Anne Williams
Andreas Herzig , J&eacute;r&ocirc;me Lang
Andreas Herzig , Pierre Marquis
Andreas Herzig , Thomas Polacsek
J&eacute;r&ocirc;me Lang , Pierre Marquis
J&eacute;r&ocirc;me Lang , Thomas Polacsek
Pierre Marquis , Thomas Polacsek
Maurice Pagnucco , Pavlos Peppas
Dongmo Zhang , Norman Y. Foo
Patrick Doherty , Witold Lukaszewicz
Andrzej Szalas , Patrick Doherty
Andrzej Szalas , Witold Lukaszewicz
Diego Calvanese , Giuseppe De Giacomo
Diego Calvanese , Maurizio Lenzerini
Giuseppe De Giacomo , Maurizio Lenzerini
Ralf M&ouml;ller , Volker Haarslev
Marco Cadoli , Thomas Eiter
Georg Gottlob , Marco Cadoli
Georg Gottlob , Thomas Eiter
Adnan Darwiche , Pierre Marquis
Delbert D. Bailey , V&iacute;ctor Dalmau
Delbert D. Bailey , Phokion G. Kolaitis
Phokion G. Kolaitis , V&iacute;ctor Dalmau
Ian Horrocks , Ulrike Sattler
Jean-Fran&ccedil;ois Baget , Marie-Laure Mugnier
Franz Baader , Sebastian Brandt
Franz Baader , Ralf K&uuml;sters
Ralf K&uuml;sters , Sebastian Brandt
Ralf K&uuml;sters , Ralf Molitor
Alexander Maedche , Gerd Stumme
Andrew G. Barto , Theodore J. Perkins
Gilles Dequen , Olivier Dubois
John K. Slaney , Toby Walsh
Enrico Giunchiglia , Massimo Narizzano
Armando Tacchella , Enrico Giunchiglia
Armando Tacchella , Massimo Narizzano
Alan M. Frisch , Timothy J. Peugniez
Jean-Fran&ccedil;ois Baget , Yannic S. Tognetti
Micha Janssen , Pascal Van Hentenryck
Micha Janssen , Yves Deville
Pascal Van Hentenryck , Yves Deville
Eric Monfroy , Lucas Bordeaux
Fr&eacute;d&eacute;ric Benhamou , Lucas Bordeaux
Eric Monfroy , Fr&eacute;d&eacute;ric Benhamou
Christian Bessi&egrave;re , Jean-Charles R&eacute;gin
Roland H. C. Yap , Yuanlin Zhang
Lina Khatib , Paul H. Morris
Lina Khatib , Robert A. Morris
Francesca Rossi , Lina Khatib
Paul H. Morris , Robert A. Morris
Francesca Rossi , Paul H. Morris
Francesca Rossi , Robert A. Morris
Jin-Kao Hao , Michel Vasquez
Dale Schuurmans , Finnegan Southey
Dale Schuurmans , Robert C. Holte
Finnegan Southey , Robert C. Holte
Andrew Lim , Wang Ying
Henry A. Kautz , Yongshao Ruan
Dimitris Achlioptas , Henry A. Kautz
Carla P. Gomes , Henry A. Kautz
Bart Selman , Henry A. Kautz
Henry A. Kautz , Mark E. Stickel
Dimitris Achlioptas , Yongshao Ruan
Carla P. Gomes , Yongshao Ruan
Bart Selman , Yongshao Ruan
Mark E. Stickel , Yongshao Ruan
Carla P. Gomes , Dimitris Achlioptas
Bart Selman , Dimitris Achlioptas
Dimitris Achlioptas , Mark E. Stickel
Bart Selman , Carla P. Gomes
Carla P. Gomes , Mark E. Stickel
Bart Selman , Mark E. Stickel
Alvaro del Val , Laurent Simon
Ashok K. Goel , Jim Davies
Mary-Anne Williams , Peter G&auml;rdenfors
Alessandro Saffiotti , Silvia Coradeschi
Fahiem Bacchus , Michael Ady
Dana S. Nau , H&eacute;ctor Mu&ntilde;oz-Avila
Dana S. Nau , Yue Cao
Amnon Lotem , Dana S. Nau
Dana S. Nau , Steven Mitchell
H&eacute;ctor Mu&ntilde;oz-Avila , Yue Cao
Amnon Lotem , H&eacute;ctor Mu&ntilde;oz-Avila
H&eacute;ctor Mu&ntilde;oz-Avila , Steven Mitchell
Amnon Lotem , Yue Cao
Steven Mitchell , Yue Cao
Amnon Lotem , Steven Mitchell
Emmanuel Guere , Rachid Alami
Derek Long , Maria Fox
Subbarao Kambhampati , XuanLong Nguyen
Alessandro Cimatti , Piergiorgio Bertoli
Marco Roveri , Piergiorgio Bertoli
Alessandro Cimatti , Marco Roveri
Alessandro Cimatti , Piergiorgio Bertoli
Marco Roveri , Piergiorgio Bertoli
Paolo Traverso , Piergiorgio Bertoli
Alessandro Cimatti , Marco Roveri
Alessandro Cimatti , Paolo Traverso
Marco Roveri , Paolo Traverso
Marco Pistore , Paolo Traverso
Brian C. Williams , Phil Kim
Mark Abramson , Phil Kim
Brian C. Williams , Mark Abramson
Nicola Muscettola , Paul H. Morris
Paul H. Morris , Thierry Vidal
Nicola Muscettola , Thierry Vidal
Chitta Baral , Vladik Kreinovich
Chitta Baral , Raul Trejo
Raul Trejo , Vladik Kreinovich
Jonathan Schaeffer , Markian Hlynka
Jonathan Schaeffer , Vili Jussila
Markian Hlynka , Vili Jussila
Jeff L. Stimpson , Michael A. Goodrich
Jeff L. Stimpson , Lawrence C. Walters
Lawrence C. Walters , Michael A. Goodrich
Claudia Picardi , Luca Console
Daniele Theseider Dupr&eacute; , Luca Console
Claudia Picardi , Daniele Theseider Dupr&eacute;
Louise Trav&eacute;-Massuy&egrave;s , Teresa Escobet
Louise Trav&eacute;-Massuy&egrave;s , Robert Milne
Robert Milne , Teresa Escobet
Feng Zhao , Xenofon D. Koutsoukos
Feng Zhao , Horst W. Haussecker
Feng Zhao , James Reich
Feng Zhao , Patrick Cheung
Claudia Picardi , Feng Zhao
Horst W. Haussecker , Xenofon D. Koutsoukos
James Reich , Xenofon D. Koutsoukos
Patrick Cheung , Xenofon D. Koutsoukos
Claudia Picardi , Xenofon D. Koutsoukos
Horst W. Haussecker , James Reich
Horst W. Haussecker , Patrick Cheung
Claudia Picardi , Horst W. Haussecker
James Reich , Patrick Cheung
Claudia Picardi , James Reich
Claudia Picardi , Patrick Cheung
Ir&egrave;ne Grosclaude , Marie-Odile Cordier
Ir&egrave;ne Grosclaude , Rene Quiniou
Marie-Odile Cordier , Rene Quiniou
Luca Chittaro , Roberto Ranon
Brian C. Williams , Seung Chung
Brian C. Williams , Vineet Gupta
Seung Chung , Vineet Gupta
Antonis C. Kakas , Bert Van Nuffelen
Antonis C. Kakas , Marc Denecker
Bert Van Nuffelen , Marc Denecker
