Anthony D. Worrall , Arthur E. C. Pece
Chun Zhang , Nimrod Megiddo
Chun Zhang , Guy M. Lohman
Guy M. Lohman , Nimrod Megiddo
Alexander S. Szalay , Jim Gray
Alexander S. Szalay , Ani Thakar
Alexander S. Szalay , Peter Z. Kunszt
Alexander S. Szalay , Tanu Malik
Alexander S. Szalay , Jordan Raddick
Alexander S. Szalay , Christopher Stoughton
Alexander S. Szalay , Jan vandenBerg
Ani Thakar , Jim Gray
Jim Gray , Peter Z. Kunszt
Jim Gray , Tanu Malik
Jim Gray , Jordan Raddick
Christopher Stoughton , Jim Gray
Jan vandenBerg , Jim Gray
Ani Thakar , Peter Z. Kunszt
Ani Thakar , Tanu Malik
Ani Thakar , Jordan Raddick
Ani Thakar , Christopher Stoughton
Ani Thakar , Jan vandenBerg
Peter Z. Kunszt , Tanu Malik
Jordan Raddick , Peter Z. Kunszt
Christopher Stoughton , Peter Z. Kunszt
Jan vandenBerg , Peter Z. Kunszt
Jordan Raddick , Tanu Malik
Christopher Stoughton , Tanu Malik
Jan vandenBerg , Tanu Malik
Christopher Stoughton , Jordan Raddick
Jan vandenBerg , Jordan Raddick
Christopher Stoughton , Jan vandenBerg
Bryan Smith , Meikel P&ouml;ss
Lubor Koll&aacute;r , Meikel P&ouml;ss
Meikel P&ouml;ss , Per-&Aring;ke Larson
Bryan Smith , Lubor Koll&aacute;r
Bryan Smith , Per-&Aring;ke Larson
Lubor Koll&aacute;r , Per-&Aring;ke Larson
Jesse Anton , Lawrence Jacobs
Jesse Anton , Xiang Liu
Jesse Anton , Jordan Parker
Jesse Anton , Zheng Zeng
Jesse Anton , Tie Zhong
Lawrence Jacobs , Xiang Liu
Jordan Parker , Lawrence Jacobs
Lawrence Jacobs , Zheng Zeng
Lawrence Jacobs , Tie Zhong
Jordan Parker , Xiang Liu
Xiang Liu , Zheng Zeng
Tie Zhong , Xiang Liu
Jordan Parker , Zheng Zeng
Jordan Parker , Tie Zhong
Tie Zhong , Zheng Zeng
Qiong Luo , Sailesh Krishnamurthy
C. Mohan , Qiong Luo
Hamid Pirahesh , Qiong Luo
Honguk Woo , Qiong Luo
Bruce G. Lindsay , Qiong Luo
Jeffrey F. Naughton , Qiong Luo
C. Mohan , Sailesh Krishnamurthy
Hamid Pirahesh , Sailesh Krishnamurthy
Honguk Woo , Sailesh Krishnamurthy
Bruce G. Lindsay , Sailesh Krishnamurthy
Jeffrey F. Naughton , Sailesh Krishnamurthy
C. Mohan , Hamid Pirahesh
C. Mohan , Honguk Woo
Bruce G. Lindsay , C. Mohan
C. Mohan , Jeffrey F. Naughton
Hamid Pirahesh , Honguk Woo
Bruce G. Lindsay , Hamid Pirahesh
Hamid Pirahesh , Jeffrey F. Naughton
Bruce G. Lindsay , Honguk Woo
Honguk Woo , Jeffrey F. Naughton
Bruce G. Lindsay , Jeffrey F. Naughton
Mehmet Altinel , Qiong Luo
Mehmet Altinel , Sailesh Krishnamurthy
C. Mohan , Mehmet Altinel
Hamid Pirahesh , Mehmet Altinel
Bruce G. Lindsay , Mehmet Altinel
Honguk Woo , Mehmet Altinel
Larry Brown , Mehmet Altinel
Qiong Luo , Sailesh Krishnamurthy
C. Mohan , Qiong Luo
Hamid Pirahesh , Qiong Luo
Bruce G. Lindsay , Qiong Luo
Honguk Woo , Qiong Luo
Larry Brown , Qiong Luo
C. Mohan , Sailesh Krishnamurthy
Hamid Pirahesh , Sailesh Krishnamurthy
Bruce G. Lindsay , Sailesh Krishnamurthy
Honguk Woo , Sailesh Krishnamurthy
Larry Brown , Sailesh Krishnamurthy
C. Mohan , Hamid Pirahesh
Bruce G. Lindsay , C. Mohan
C. Mohan , Honguk Woo
C. Mohan , Larry Brown
Bruce G. Lindsay , Hamid Pirahesh
Hamid Pirahesh , Honguk Woo
Hamid Pirahesh , Larry Brown
Bruce G. Lindsay , Honguk Woo
Bruce G. Lindsay , Larry Brown
Honguk Woo , Larry Brown
Guy M. Lohman , Volker Markl
Mukesh Mulchandani , Xin Zhang
Steffen Christ , Xin Zhang
Brian Murphy , Xin Zhang
Elke A. Rundensteiner , Xin Zhang
Mukesh Mulchandani , Steffen Christ
Brian Murphy , Mukesh Mulchandani
Elke A. Rundensteiner , Mukesh Mulchandani
Brian Murphy , Steffen Christ
Elke A. Rundensteiner , Steffen Christ
Brian Murphy , Elke A. Rundensteiner
Anja Theobald , Gerhard Weikum
Alberto O. Mendelzon , Denilson Barbosa
Denilson Barbosa , John Keenleyside
Denilson Barbosa , Kelly A. Lyons
Alberto O. Mendelzon , John Keenleyside
Alberto O. Mendelzon , Kelly A. Lyons
John Keenleyside , Kelly A. Lyons
Daniel J. Abadi , Mitch Cherniack
Elke A. Rundensteiner , Li Chen
Li Chen , Song Wang
Elke A. Rundensteiner , Song Wang
Michael Rabinovich , Pradnya Karbhari
Pradnya Karbhari , Zhen Xiao
Fred Douglis , Pradnya Karbhari
Michael Rabinovich , Zhen Xiao
Fred Douglis , Michael Rabinovich
Fred Douglis , Zhen Xiao
Shiwei Tang , Tengjiao Wang
Dongqing Yang , Tengjiao Wang
Jun Gao , Tengjiao Wang
Tengjiao Wang , Yuqing Wu
Jian Pei , Tengjiao Wang
Dongqing Yang , Shiwei Tang
Jun Gao , Shiwei Tang
Shiwei Tang , Yuqing Wu
Jian Pei , Shiwei Tang
Dongqing Yang , Jun Gao
Dongqing Yang , Yuqing Wu
Dongqing Yang , Jian Pei
Jun Gao , Yuqing Wu
Jian Pei , Jun Gao
Jian Pei , Yuqing Wu
David Sun , Wai Fu Fung
Johannes Gehrke , Wai Fu Fung
David Sun , Johannes Gehrke
Joseph M. Hellerstein , Samuel Madden
Charles D. Cranor , Yuan Gao
Charles D. Cranor , Theodore Johnson
Charles D. Cranor , Vladislav Shkapenyuk
Charles D. Cranor , Oliver Spatscheck
Theodore Johnson , Yuan Gao
Vladislav Shkapenyuk , Yuan Gao
Oliver Spatscheck , Yuan Gao
Theodore Johnson , Vladislav Shkapenyuk
Oliver Spatscheck , Theodore Johnson
Oliver Spatscheck , Vladislav Shkapenyuk
Giansalvatore Mecca , Valter Crescenzi
Paolo Merialdo , Valter Crescenzi
Giansalvatore Mecca , Paolo Merialdo
Andreas Gr&uuml;nhagen , Daniela Florescu
Daniela Florescu , Donald Kossmann
Daniela Florescu , Steffen Rost
Andreas Gr&uuml;nhagen , Donald Kossmann
Andreas Gr&uuml;nhagen , Steffen Rost
Donald Kossmann , Steffen Rost
Jianyong Wang , Jiawei Han
Guozhu Dong , Jiawei Han
Jian Pei , Jiawei Han
Jiawei Han , Ke Wang
Guozhu Dong , Jianyong Wang
Jian Pei , Jianyong Wang
Jianyong Wang , Ke Wang
Guozhu Dong , Jian Pei
Guozhu Dong , Ke Wang
Jian Pei , Ke Wang
Sanjay Agrawal , Surajit Chaudhuri
Gautam Das , Sanjay Agrawal
Gautam Das , Surajit Chaudhuri
Jessica M. Phan , Raymond T. Ng
Alexander Hinneburg , Daniel A. Keim
Alexander Hinneburg , Markus Wawryniuk
Daniel A. Keim , Markus Wawryniuk
Guoren Wang , Hongjun Lu
Ge Yu , Hongjun Lu
Hongjun Lu , Yubin Bao
Hongjun Lu , Jianhua Lv
Hongjun Lu , Yaxin Yu
Ge Yu , Guoren Wang
Guoren Wang , Yubin Bao
Guoren Wang , Jianhua Lv
Guoren Wang , Yaxin Yu
Ge Yu , Yubin Bao
Ge Yu , Jianhua Lv
Ge Yu , Yaxin Yu
Jianhua Lv , Yubin Bao
Yaxin Yu , Yubin Bao
Jianhua Lv , Yaxin Yu
Elke A. Rundensteiner , Matthew O. Ward
Elke A. Rundensteiner , Jing Yang
Elke A. Rundensteiner , Punit R. Doshi
Jing Yang , Matthew O. Ward
Matthew O. Ward , Punit R. Doshi
Jing Yang , Punit R. Doshi
Jennifer Widom , Joseph M. Hellerstein
Johannes Gehrke , Minos N. Garofalakis
Minos N. Garofalakis , Rajeev Rastogi
Johannes Gehrke , Rajeev Rastogi
Dennis Shasha , Philippe Bonnet
Dennis Shasha , Philippe Bonnet
Ping Chen , Zhaohui Fu
Andrew Lim , Ping Chen
Andrew Lim , Zhaohui Fu
Hoong Chuin Lau , Qi Zhang Liu
Hirotaka Ono , Hoong Chuin Lau
Hirotaka Ono , Qi Zhang Liu
Kalev Kask , Rina Dechter
Eyal Bin , Rina Dechter
Rina Dechter , Roy Emek
Eyal Bin , Kalev Kask
Kalev Kask , Roy Emek
Eyal Bin , Roy Emek
Alex Fabrikant , Tad Hogg
Hai Fang , Y. Kilani
Hai Fang , Jimmy Ho-Man Lee
Hai Fang , Peter J. Stuckey
Jimmy Ho-Man Lee , Y. Kilani
Peter J. Stuckey , Y. Kilani
Jimmy Ho-Man Lee , Peter J. Stuckey
Gunnar W. Klau , Neal Lesh
Gunnar W. Klau , Joe Marks
Gunnar W. Klau , Michael Mitzenmacher
Joe Marks , Neal Lesh
Michael Mitzenmacher , Neal Lesh
Joe Marks , Michael Mitzenmacher
Jimmy Ho-Man Lee , Yat Chiu Law
Kazuhisa Makino , Thomas Eiter
Jayant Madhavan , Philip A. Bernstein
Jayant Madhavan , Pedro Domingos
Alon Y. Halevy , Jayant Madhavan
Pedro Domingos , Philip A. Bernstein
Alon Y. Halevy , Philip A. Bernstein
Alon Y. Halevy , Pedro Domingos
David W. Patterson , Niall Rooney
David W. Patterson , Mykola Galushka
Mykola Galushka , Niall Rooney
Alexander Strehl , Joydeep Ghosh
Fangzhen Lin , Yuting Zhao
David Andre , Stuart J. Russell
Paul R. Cohen , Tim Oates
Carole R. Beal , Paul R. Cohen
Niall M. Adams , Paul R. Cohen
Carole R. Beal , Tim Oates
Niall M. Adams , Tim Oates
Carole R. Beal , Niall M. Adams
Gal Elidan , Matan Ninio
Gal Elidan , Nir Friedman
Dale Shuurmans , Gal Elidan
Matan Ninio , Nir Friedman
Dale Shuurmans , Matan Ninio
Dale Shuurmans , Nir Friedman
Matti K&auml;&auml;ri&auml;inen , Tapio Elomaa
Fang Chu , Wei Fan
Haixun Wang , Wei Fan
Philip S. Yu , Wei Fan
Fang Chu , Haixun Wang
Fang Chu , Philip S. Yu
Haixun Wang , Philip S. Yu
Alan Fern , Robert Givan
Alan Fern , Jeffrey Mark Siskind
Jeffrey Mark Siskind , Robert Givan
Alan Fern , Jeffrey Mark Siskind
Alan Fern , Robert Givan
Jeffrey Mark Siskind , Robert Givan
Russell Greiner , Wei Zhou
Benjamin Kuipers , Patrick Beeson
Prem Melville , Raymond J. Mooney
Prem Melville , Ramadass Nagarajan
Ramadass Nagarajan , Raymond J. Mooney
Masayuki Numao , Shoichi Takagi
Keisuke Nakamura , Masayuki Numao
Keisuke Nakamura , Shoichi Takagi
Kar&egrave;n Pivazyan , Yoav Shoham
Benjamin W. Wah , Minglun Qian
Andrew W. Moore , Weng-Keen Wong
Gregory F. Cooper , Weng-Keen Wong
Michael M. Wagner , Weng-Keen Wong
Andrew W. Moore , Gregory F. Cooper
Andrew W. Moore , Michael M. Wagner
Gregory F. Cooper , Michael M. Wagner
Laura Firoiu , Paul R. Cohen
Carlos Guestrin , Shobha Venkataraman
Carlos Guestrin , Daphne Koller
Daphne Koller , Shobha Venkataraman
Leslie Pack Kaelbling , Terran Lane
Jon Doyle , Michael McGeachie
Pascal Poupart , Relu Patrascu
Dale Schuurmans , Relu Patrascu
Craig Boutilier , Relu Patrascu
Carlos Guestrin , Relu Patrascu
Dale Schuurmans , Pascal Poupart
Craig Boutilier , Pascal Poupart
Carlos Guestrin , Pascal Poupart
Craig Boutilier , Dale Schuurmans
Carlos Guestrin , Dale Schuurmans
Carlos Guestrin , Craig Boutilier
Craig Boutilier , Pascal Poupart
Pascal Poupart , Relu Patrascu
Dale Schuurmans , Pascal Poupart
Craig Boutilier , Relu Patrascu
Craig Boutilier , Dale Schuurmans
Dale Schuurmans , Relu Patrascu
Gerhard Sagerer , Sven Wachsmuth
Nevin Lianwen Zhang , Weihong Zhang
Tuomas Sandholm , Vincent Conitzer
John Grant , Sarit Kraus
Donald Perlis , John Grant
Donald Perlis , Sarit Kraus
Daniel Kudenko , Spiros Kapetanakis
David Wolpert , John W. Lawson
Tuomas Sandholm , Xiao Feng Wang
Daphne Koller , David Vickrey
Lars Wittenburg , Weixiong Zhang
Tuomas Sandholm , Wolfram Conen
Kevin Leyton-Brown , Yoav Shoham
Kevin Leyton-Brown , Moshe Tennenholtz
Moshe Tennenholtz , Yoav Shoham
Ahuva Mu'alem , Noam Nisan
Peter R. Wurman , Weili Zhu
Tuomas Sandholm , Vincent Conitzer
Rob Powers , Trond Grenager
Trond Grenager , Yoav Shoham
Rob Powers , Yoav Shoham
Jimin Liu , Tat-Seng Chua
Gina Danielle Venolia , Joshua Goodman
Joshua Goodman , Keith Steury
Chauncey Parker , Joshua Goodman
Gina Danielle Venolia , Keith Steury
Chauncey Parker , Gina Danielle Venolia
Chauncey Parker , Keith Steury
Charles Lee Isbell Jr. , Michael J. Kearns
Michael J. Kearns , Satinder P. Singh
Diane J. Litman , Michael J. Kearns
Jessica Howe , Michael J. Kearns
Charles Lee Isbell Jr. , Satinder P. Singh
Charles Lee Isbell Jr. , Diane J. Litman
Charles Lee Isbell Jr. , Jessica Howe
Diane J. Litman , Satinder P. Singh
Jessica Howe , Satinder P. Singh
Diane J. Litman , Jessica Howe
Hiroshi G. Okuno , Kazuhiro Nakadai
Hiroaki Kitano , Kazuhiro Nakadai
Hiroaki Kitano , Hiroshi G. Okuno
Sasha Blair-Goldensohn , Zhu Zhang
Dragomir R. Radev , Zhu Zhang
Dragomir R. Radev , Sasha Blair-Goldensohn
Marco Pistore , Ugo Dal Lago
Paolo Traverso , Ugo Dal Lago
Marco Pistore , Paolo Traverso
Eric A. Hansen , Zhengzhu Feng
Andrew Garland , Neal Lesh
Maxim Likhachev , Sven Koenig
Sven Koenig , Yaxin Liu
David Furcy , Yaxin Liu
David Furcy , Sven Koenig
Chitta Baral , Nam Tran
Chitta Baral , Le-Chi Tuan
Le-Chi Tuan , Nam Tran
Carlos Brito , Judea Pearl
Adnan Darwiche , Hei Chan
Rina Dechter , Robert Mateescu
Kalev Kask , Robert Mateescu
Kalev Kask , Rina Dechter
Irina Rish , Mark Brodie
Irina Rish , Sheng Ma
Mark Brodie , Sheng Ma
Jin Tian , Judea Pearl
Jin Tian , Judea Pearl
Adam Milstein , Javier Nicol&aacute;s S&aacute;nchez
Adam Milstein , Evan Tang Williamson
Evan Tang Williamson , Javier Nicol&aacute;s S&aacute;nchez
Joelle Pineau , Michael Montemerlo
Michael Montemerlo , Nicholas Roy
Michael Montemerlo , Sebastian Thrun
Michael Montemerlo , Vandi Verma
Joelle Pineau , Nicholas Roy
Joelle Pineau , Sebastian Thrun
Joelle Pineau , Vandi Verma
Nicholas Roy , Sebastian Thrun
Nicholas Roy , Vandi Verma
Sebastian Thrun , Vandi Verma
Michael Montemerlo , Sebastian Thrun
Daphne Koller , Michael Montemerlo
Ben Wegbreit , Michael Montemerlo
Daphne Koller , Sebastian Thrun
Ben Wegbreit , Sebastian Thrun
Ben Wegbreit , Daphne Koller
Michael Beetz , Thorsten Schmitt
Robert Hanek , Thorsten Schmitt
Sebastian Buck , Thorsten Schmitt
Michael Beetz , Robert Hanek
Michael Beetz , Sebastian Buck
Robert Hanek , Sebastian Buck
Delbert D. Bailey , V&iacute;ctor Dalmau
Delbert D. Bailey , Phokion G. Kolaitis
Phokion G. Kolaitis , V&iacute;ctor Dalmau
Heidi E. Dixon , Matthew L. Ginsberg
Enrico Giunchiglia , Massimo Narizzano
Armando Tacchella , Enrico Giunchiglia
Armando Tacchella , Massimo Narizzano
Randal E. Bryant , Rune M. Jensen
Manuela M. Veloso , Rune M. Jensen
Manuela M. Veloso , Randal E. Bryant
Eric Horvitz , Henry A. Kautz
Henry A. Kautz , Yongshao Ruan
Carla P. Gomes , Henry A. Kautz
Bart Selman , Henry A. Kautz
Eric Horvitz , Yongshao Ruan
Carla P. Gomes , Eric Horvitz
Bart Selman , Eric Horvitz
Carla P. Gomes , Yongshao Ruan
Bart Selman , Yongshao Ruan
Bart Selman , Carla P. Gomes
Daniel S. Bernstein , Theodore J. Perkins
Daniel S. Bernstein , Shlomo Zilberstein
Daniel S. Bernstein , Lev Finkelstein
Shlomo Zilberstein , Theodore J. Perkins
Lev Finkelstein , Theodore J. Perkins
Lev Finkelstein , Shlomo Zilberstein
Sharlee Climer , Weixiong Zhang
Dmitry Davidov , Shaul Markovitch
Lev Finkelstein , Shaul Markovitch
Ehud Rivlin , Lev Finkelstein
Ehud Rivlin , Shaul Markovitch
Russell Greiner , Ryan Hayward
Michael Molloy , Russell Greiner
Michael Molloy , Ryan Hayward
Matthew McNaughton , Paul Lu
Jonathan Schaeffer , Matthew McNaughton
Duane Szafron , Matthew McNaughton
Jonathan Schaeffer , Paul Lu
Duane Szafron , Paul Lu
Duane Szafron , Jonathan Schaeffer
Mark A. Musen , Natalya Fridman Noy
Olivier Spanjaard , Patrice Perny
Amitava Bagchi , Anup K. Sen
Anup K. Sen , Weixiong Zhang
Amitava Bagchi , Weixiong Zhang
Allan D. Jepson , Richard Mann
Darnell J. Moore , Irfan A. Essa
Brandon C. S. Sanders , Randal C. Nelson
Brandon C. S. Sanders , Rahul Sukthankar
Rahul Sukthankar , Randal C. Nelson
Hai Leong Chieu , Hwee Tou Ng
Ian Horrocks , Peter F. Patel-Schneider
Frank van Harmelen , Ian Horrocks
Frank van Harmelen , Peter F. Patel-Schneider
Andrew W. Moore , Jeremy Kubica
Jeff G. Schneider , Jeremy Kubica
Jeremy Kubica , Yiming Yang
Andrew W. Moore , Jeff G. Schneider
Andrew W. Moore , Yiming Yang
Jeff G. Schneider , Yiming Yang
Jay M. Ponte , Laurie E. Damianos
Laurie E. Damianos , Steve Wohlever
Florence Reeder , Laurie E. Damianos
David S. Day , Laurie E. Damianos
D. George Wilson , Laurie E. Damianos
Laurie E. Damianos , Lynette Hirschman
Jay M. Ponte , Steve Wohlever
Florence Reeder , Jay M. Ponte
David S. Day , Jay M. Ponte
D. George Wilson , Jay M. Ponte
Jay M. Ponte , Lynette Hirschman
Florence Reeder , Steve Wohlever
David S. Day , Steve Wohlever
D. George Wilson , Steve Wohlever
Lynette Hirschman , Steve Wohlever
David S. Day , Florence Reeder
D. George Wilson , Florence Reeder
Florence Reeder , Lynette Hirschman
D. George Wilson , David S. Day
David S. Day , Lynette Hirschman
D. George Wilson , Lynette Hirschman
Doug Warner , Stephen D. Durbin
J. Neal Richter , Stephen D. Durbin
Stephen D. Durbin , Zuzana Gedeon
Doug Warner , J. Neal Richter
Doug Warner , Zuzana Gedeon
J. Neal Richter , Zuzana Gedeon
Alex S. Fukunaga , Ed Hamilton
Alex S. Fukunaga , Jason Fama
Alex S. Fukunaga , David Andre
Alex S. Fukunaga , Ofer Matan
Alex S. Fukunaga , Illah R. Nourbakhsh
Ed Hamilton , Jason Fama
David Andre , Ed Hamilton
Ed Hamilton , Ofer Matan
Ed Hamilton , Illah R. Nourbakhsh
David Andre , Jason Fama
Jason Fama , Ofer Matan
Illah R. Nourbakhsh , Jason Fama
David Andre , Ofer Matan
David Andre , Illah R. Nourbakhsh
Illah R. Nourbakhsh , Ofer Matan
Rama Akkiraju , Richard Goodwin
Frederick Y. Wu , Richard Goodwin
Frederick Y. Wu , Rama Akkiraju
Andrew Lim , Juay Chin Ang
Andrew Lim , Wee-Kit Ho
Andrew Lim , Wee-Chong Oon
Juay Chin Ang , Wee-Kit Ho
Juay Chin Ang , Wee-Chong Oon
Wee-Chong Oon , Wee-Kit Ho
K. Christoph Ranze , Thorsten Scholz
K. Christoph Ranze , Thomas Wagner
Andreas G&uuml;nter , K. Christoph Ranze
K. Christoph Ranze , Otthein Herzog
K. Christoph Ranze , Oliver Hollmann
Christoph Schlieder , K. Christoph Ranze
K. Christoph Ranze , Volker Arlt
Thomas Wagner , Thorsten Scholz
Andreas G&uuml;nter , Thorsten Scholz
Otthein Herzog , Thorsten Scholz
Oliver Hollmann , Thorsten Scholz
Christoph Schlieder , Thorsten Scholz
Thorsten Scholz , Volker Arlt
Andreas G&uuml;nter , Thomas Wagner
Otthein Herzog , Thomas Wagner
Oliver Hollmann , Thomas Wagner
Christoph Schlieder , Thomas Wagner
Thomas Wagner , Volker Arlt
Andreas G&uuml;nter , Otthein Herzog
Andreas G&uuml;nter , Oliver Hollmann
Andreas G&uuml;nter , Christoph Schlieder
Andreas G&uuml;nter , Volker Arlt
Oliver Hollmann , Otthein Herzog
Christoph Schlieder , Otthein Herzog
Otthein Herzog , Volker Arlt
Christoph Schlieder , Oliver Hollmann
Oliver Hollmann , Volker Arlt
Christoph Schlieder , Volker Arlt
Gheorghe Tecuci , Mihai Boicu
Dorin Marcu , Gheorghe Tecuci
Bogdan Stanescu , Gheorghe Tecuci
Cristina Boicu , Gheorghe Tecuci
Gheorghe Tecuci , Jerry Comello
Antonio Lopez , Gheorghe Tecuci
Gheorghe Tecuci , James Donlon
Gheorghe Tecuci , William Cleckner
Dorin Marcu , Mihai Boicu
Bogdan Stanescu , Mihai Boicu
Cristina Boicu , Mihai Boicu
Jerry Comello , Mihai Boicu
Antonio Lopez , Mihai Boicu
James Donlon , Mihai Boicu
Mihai Boicu , William Cleckner
Bogdan Stanescu , Dorin Marcu
Cristina Boicu , Dorin Marcu
Dorin Marcu , Jerry Comello
Antonio Lopez , Dorin Marcu
Dorin Marcu , James Donlon
Dorin Marcu , William Cleckner
Bogdan Stanescu , Cristina Boicu
Bogdan Stanescu , Jerry Comello
Antonio Lopez , Bogdan Stanescu
Bogdan Stanescu , James Donlon
Bogdan Stanescu , William Cleckner
Cristina Boicu , Jerry Comello
Antonio Lopez , Cristina Boicu
Cristina Boicu , James Donlon
Cristina Boicu , William Cleckner
Antonio Lopez , Jerry Comello
James Donlon , Jerry Comello
Jerry Comello , William Cleckner
Antonio Lopez , James Donlon
Antonio Lopez , William Cleckner
James Donlon , William Cleckner
Greg Barish , Jos&eacute; Luis Ambite
Craig A. Knoblock , Jos&eacute; Luis Ambite
Jos&eacute; Luis Ambite , Maria Muslea
Jean Oh , Jos&eacute; Luis Ambite
Jos&eacute; Luis Ambite , Steven Minton
Craig A. Knoblock , Greg Barish
Greg Barish , Maria Muslea
Greg Barish , Jean Oh
Greg Barish , Steven Minton
Craig A. Knoblock , Maria Muslea
Craig A. Knoblock , Jean Oh
Craig A. Knoblock , Steven Minton
Jean Oh , Maria Muslea
Maria Muslea , Steven Minton
Jean Oh , Steven Minton
Hans Chalupsky , Thomas A. Russ
Kenneth D. Forbus , Thomas Mostek
Kenneth D. Forbus , Ronald W. Ferguson
Ronald W. Ferguson , Thomas Mostek
Changhee Han , Randall W. Hill Jr.
Michael van Lent , Randall W. Hill Jr.
Changhee Han , Michael van Lent
Alexander Kott , Larry Ground
Alexander Kott , Ray Budd
Alexander Kott , V. Lakshmi Rebbapragada
Alexander Kott , John Langston
Larry Ground , Ray Budd
Larry Ground , V. Lakshmi Rebbapragada
John Langston , Larry Ground
Ray Budd , V. Lakshmi Rebbapragada
John Langston , Ray Budd
John Langston , V. Lakshmi Rebbapragada
Kathy Panton , Pierluigi Miraglia
Kathy Panton , Nancy Salay
Kathy Panton , Robert C. Kahlert
David Baxter , Kathy Panton
Kathy Panton , Roland Reagan
Nancy Salay , Pierluigi Miraglia
Pierluigi Miraglia , Robert C. Kahlert
David Baxter , Pierluigi Miraglia
Pierluigi Miraglia , Roland Reagan
Nancy Salay , Robert C. Kahlert
David Baxter , Nancy Salay
Nancy Salay , Roland Reagan
David Baxter , Robert C. Kahlert
Robert C. Kahlert , Roland Reagan
David Baxter , Roland Reagan
Alexander Kott , Robert Rasch
Kenneth D. Forbus , Robert Rasch
Alexander Kott , Kenneth D. Forbus
Christopher McCubbin , David Scheidt
David Scheidt , Michael Pekala
David Scheidt , Shon Vick
David Alger , David Scheidt
Christopher McCubbin , Michael Pekala
Christopher McCubbin , Shon Vick
Christopher McCubbin , David Alger
Michael Pekala , Shon Vick
David Alger , Michael Pekala
David Alger , Shon Vick
J&eacute;r&ocirc;me Thom&eacute;r&eacute; , Ken Barker
J&eacute;r&ocirc;me Thom&eacute;r&eacute; , Vinay K. Chaudhri
J&eacute;r&ocirc;me Thom&eacute;r&eacute; , Peter Clark
J&eacute;r&ocirc;me Thom&eacute;r&eacute; , Michael Eriksen
J&eacute;r&ocirc;me Thom&eacute;r&eacute; , Sunil Mishra
Bruce W. Porter , J&eacute;r&ocirc;me Thom&eacute;r&eacute;
Andr&eacute;s Rodr&iacute;guez , J&eacute;r&ocirc;me Thom&eacute;r&eacute;
Ken Barker , Vinay K. Chaudhri
Ken Barker , Peter Clark
Ken Barker , Michael Eriksen
Ken Barker , Sunil Mishra
Bruce W. Porter , Ken Barker
Andr&eacute;s Rodr&iacute;guez , Ken Barker
Peter Clark , Vinay K. Chaudhri
Michael Eriksen , Vinay K. Chaudhri
Sunil Mishra , Vinay K. Chaudhri
Bruce W. Porter , Vinay K. Chaudhri
Andr&eacute;s Rodr&iacute;guez , Vinay K. Chaudhri
Michael Eriksen , Peter Clark
Peter Clark , Sunil Mishra
Bruce W. Porter , Peter Clark
Andr&eacute;s Rodr&iacute;guez , Peter Clark
Michael Eriksen , Sunil Mishra
Bruce W. Porter , Michael Eriksen
Andr&eacute;s Rodr&iacute;guez , Michael Eriksen
Bruce W. Porter , Sunil Mishra
Andr&eacute;s Rodr&iacute;guez , Sunil Mishra
Andr&eacute;s Rodr&iacute;guez , Bruce W. Porter
Amy Greenwald , Michael P. Wellman
Michael P. Wellman , Peter Stone
Michael P. Wellman , Peter R. Wurman
Amy Greenwald , Peter Stone
Amy Greenwald , Peter R. Wurman
Peter R. Wurman , Peter Stone
Stuart Andrews , Thomas Hofmann
Ioannis Tsochantaridis , Stuart Andrews
Ioannis Tsochantaridis , Thomas Hofmann
David H. Laidlaw , Stuart Andrews
Cristina Boicu , Gheorghe Tecuci
Cristina Boicu , Mihai Boicu
Gheorghe Tecuci , Mihai Boicu
C. Enrique Pel&aacute;ez , Otto X. Cordero
Benjamin B. Perry , Haipeng Guo
Haipeng Guo , Julie A. Stilson
Haipeng Guo , William H. Hsu
Benjamin B. Perry , Julie A. Stilson
Benjamin B. Perry , William H. Hsu
Julie A. Stilson , William H. Hsu
Eugenia Ternovska , Leila Kalantari
Hugo Liu , Push Singh
Andrew J. Martignoni III , William D. Smart
Andrew Lim , Wee-Chong Oon
Benjamin B. Perry , Julie A. Stilson
Gordon I. McCalla , Tiffany Ya Tang
Gordon I. McCalla , Pinata Winoto
Julita Vassileva , Pinata Winoto
Gordon I. McCalla , Julita Vassileva
Roland H. C. Yap , Yuanlin Zhang
Roland H. C. Yap , Yuanlin Zhang
Eric A. Hansen , Rong Zhou
Alan M. Frisch , Lyndon Drake
Stan Matwin , Svetlana Kiritchenko
Gheorghe Tecuci , Mihai Boicu
Dorin Marcu , Mihai Boicu
Bogdan Stanescu , Mihai Boicu
Cristina Boicu , Mihai Boicu
Catalin Balan , Mihai Boicu
Marcel Barbulescu , Mihai Boicu
Mihai Boicu , Xianjun Hao
Dorin Marcu , Gheorghe Tecuci
Bogdan Stanescu , Gheorghe Tecuci
Cristina Boicu , Gheorghe Tecuci
Catalin Balan , Gheorghe Tecuci
Gheorghe Tecuci , Marcel Barbulescu
Gheorghe Tecuci , Xianjun Hao
Bogdan Stanescu , Dorin Marcu
Cristina Boicu , Dorin Marcu
Catalin Balan , Dorin Marcu
Dorin Marcu , Marcel Barbulescu
Dorin Marcu , Xianjun Hao
Bogdan Stanescu , Cristina Boicu
Bogdan Stanescu , Catalin Balan
Bogdan Stanescu , Marcel Barbulescu
Bogdan Stanescu , Xianjun Hao
Catalin Balan , Cristina Boicu
